title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross,year,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
Thelma,Thelma,2011-01-01,111.0,"Drama,Family",6.8,33,Orch.,147000.0,2017-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Third Murder,Sandome no satsujin,2017-01-01,124.0,"Crime,Drama,Mystery",6.7,3895,FM,89300.0,2018-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Into the Abyss,Into the Abyss,2011-01-01,107.0,"Crime,Documentary,Drama",7.3,14885,IFC,224000.0,2011-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robot & Frank,Robot & Frank,2012-01-01,89.0,"Comedy,Crime,Drama",7.1,59229,Gold.,3300000.0,2012-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ek Tha Tiger,Ek Tha Tiger,2012-01-01,132.0,"Action,Romance,Thriller",5.5,26393,Yash,2300000.0,2012-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Blind,Beul-la-in-deu,2011-01-01,111.0,"Action,Crime,Drama",6.9,2200,VE,12500.0,2017-01-01,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blind,Blind,2017-01-01,98.0,"Drama,Romance",5.7,2974,VE,12500.0,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Blind,Blind,2014-01-01,96.0,Drama,6.9,6548,VE,12500.0,2017-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adore,Adoration,2013-01-01,112.0,"Drama,Romance",6.2,29703,EXCL,319000.0,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Now You See Me,Now You See Me,2012-01-01,98.0,"Drama,Horror,Thriller",7.0,237,LG/S,117700000.0,2013-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Now You See Me,Now You See Me,2013-01-01,115.0,"Crime,Mystery,Thriller",7.3,553156,LG/S,117700000.0,2013-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Fruitvale Station,Fruitvale Station,2013-01-01,85.0,"Biography,Drama,Romance",7.5,68187,Wein.,16100000.0,2013-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Himmatwala,Himmatwala,2013-01-01,150.0,"Action,Comedy,Drama",1.7,7384,UTV,271000.0,2013-01-01,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kick,Kick,2014-01-01,146.0,"Action,Comedy,Crime",5.4,21775,UTV,2500000.0,2014-01-01,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kick,Kick,2015-01-01,76.0,"Drama,Horror,Thriller",3.2,218,UTV,2500000.0,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Dark Skies,Dark Skies,2013-01-01,97.0,"Horror,Sci-Fi,Thriller",6.3,65754,W/Dim.,17400000.0,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
Flipped,Flipped,2015-01-01,90.0,"Drama,Thriller",6.0,440,WB,1800000.0,2010-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Flipped,Flipped,2010-01-01,90.0,"Comedy,Drama,Romance",7.7,74937,WB,1800000.0,2010-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Million Ways to Die in the West,A Million Ways to Die in the West,2014-01-01,116.0,"Comedy,Western",6.1,160534,Uni.,43100000.0,2014-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Get Hard,Get Hard,2015-01-01,100.0,"Comedy,Crime",6.0,111187,WB,90400000.0,2015-01-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fists of Legend,Jeonseolui joomeok,2013-01-01,154.0,Action,6.9,966,CJ,134000.0,2013-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
